年化,净值,MDD,Calmar,年化_raw,MDD_raw,Calmar_raw,策略
58.0%,6977,-59.4%,0.98,0.5800068332136268,-0.5939005633116514,0.9766059657856666,无卖出优化+等权
59.4%,8272,-56.4%,1.05,0.5939750642948389,-0.5637057923792598,1.0536969325573544,无卖出优化+排名加权
