momentum_short_window,momentum_long_window,trend_window,momentum_threshold,score,discarded,recent_6m_calmar,recent_6m_maxdd,recent_6m_annret,recent_1y_calmar,recent_1y_maxdd,recent_1y_annret,full_pre_cutoff_calmar,full_pre_cutoff_maxdd,full_pre_cutoff_annret
20,60,30,0.0,-inf,full_pre_cutoff final_nav=1.2942 < floor=1.3361 (=1.00*default 1.3361),5.32,-0.14,0.7454999999999999,5.32,-0.14,0.7454999999999999,5.32,-0.14,0.7454999999999999
20,40,60,0.01,-inf,full_pre_cutoff final_nav=1.3207 < floor=1.3361 (=1.00*default 1.3361),6.02,-0.1368,0.8234,6.02,-0.1368,0.8234,6.02,-0.1368,0.8234
20,30,60,0.01,-inf,full_pre_cutoff final_nav=1.2975 < floor=1.3361 (=1.00*default 1.3361),5.55,-0.136,0.7552,5.55,-0.136,0.7552,5.55,-0.136,0.7552
20,40,60,0.0,-inf,full_pre_cutoff final_nav=1.3313 < floor=1.3361 (=1.00*default 1.3361),6.74,-0.1268,0.8551000000000001,6.74,-0.1268,0.8551000000000001,6.74,-0.1268,0.8551000000000001
20,40,40,0.02,-inf,full_pre_cutoff final_nav=1.2909 < floor=1.3361 (=1.00*default 1.3361),5.58,-0.1319,0.7359,5.58,-0.1319,0.7359,5.58,-0.1319,0.7359
20,40,40,0.01,-inf,full_pre_cutoff final_nav=1.2788 < floor=1.3361 (=1.00*default 1.3361),5.0,-0.14,0.7009000000000001,5.0,-0.14,0.7009000000000001,5.0,-0.14,0.7009000000000001
20,40,40,0.0,-inf,full_pre_cutoff final_nav=1.2898 < floor=1.3361 (=1.00*default 1.3361),5.63,-0.13,0.7326,5.63,-0.13,0.7326,5.63,-0.13,0.7326
20,40,30,0.02,-inf,full_pre_cutoff final_nav=1.3009 < floor=1.3361 (=1.00*default 1.3361),6.32,-0.121,0.7648999999999999,6.32,-0.121,0.7648999999999999,6.32,-0.121,0.7648999999999999
20,40,30,0.01,-inf,full_pre_cutoff final_nav=1.2886 < floor=1.3361 (=1.00*default 1.3361),5.64,-0.1293,0.7292000000000001,5.64,-0.1293,0.7292000000000001,5.64,-0.1293,0.7292000000000001
20,40,30,0.0,-inf,full_pre_cutoff final_nav=1.2814 < floor=1.3361 (=1.00*default 1.3361),5.41,-0.131,0.7084,5.41,-0.131,0.7084,5.41,-0.131,0.7084
20,30,60,0.02,-inf,full_pre_cutoff final_nav=1.3098 < floor=1.3361 (=1.00*default 1.3361),6.19,-0.1278,0.7913,6.19,-0.1278,0.7913,6.19,-0.1278,0.7913
15,40,60,0.02,-inf,full_pre_cutoff final_nav=1.3356 < floor=1.3361 (=1.00*default 1.3361),8.06,-0.10769999999999999,0.8683,8.06,-0.10769999999999999,0.8683,8.06,-0.10769999999999999,0.8683
15,40,40,0.01,-inf,full_pre_cutoff final_nav=1.3109 < floor=1.3361 (=1.00*default 1.3361),6.84,-0.1162,0.7945,6.84,-0.1162,0.7945,6.84,-0.1162,0.7945
15,40,60,0.0,-inf,full_pre_cutoff final_nav=1.2862 < floor=1.3361 (=1.00*default 1.3361),5.29,-0.1366,0.7222,5.29,-0.1366,0.7222,5.29,-0.1366,0.7222
10,60,30,0.0,-inf,full_pre_cutoff final_nav=1.2723 < floor=1.3361 (=1.00*default 1.3361),6.41,-0.10640000000000001,0.6823,6.41,-0.10640000000000001,0.6823,6.41,-0.10640000000000001,0.6823
10,40,60,0.01,-inf,full_pre_cutoff final_nav=1.2229 < floor=1.3361 (=1.00*default 1.3361),4.85,-0.11220000000000001,0.5445,4.85,-0.11220000000000001,0.5445,4.85,-0.11220000000000001,0.5445
10,40,60,0.0,-inf,full_pre_cutoff final_nav=1.3057 < floor=1.3361 (=1.00*default 1.3361),9.04,-0.0861,0.7791,9.04,-0.0861,0.7791,9.04,-0.0861,0.7791
10,40,40,0.02,-inf,full_pre_cutoff final_nav=1.1491 < floor=1.3361 (=1.00*default 1.3361),2.66,-0.1316,0.35,2.66,-0.1316,0.35,2.66,-0.1316,0.35
